venderName,modelName,myct,mmin,mmax,cach,chmin,chmax,prp,erp
ibm,7.536,200,4000,5000,64,1,16,4.2485095276616045,57
ncr,7.541,56,2000,8000,0,1,8,2.4849899796493045,18
honeywell,1100/81,140,2000,32000,32,1,54,4.189669893426794,47
formation,38/5,250,192,32000,0,1,4,3.4657671523114555,28
ncr,1100/83,92,512,16000,24,5,20,4.189669893426794,919
ibm,1636-10,180,512,4000,12,1,14,3.6889044538014413,23
basf,4480,50,2000,16000,65,1,8,4.09436122874988,1238
gould,universe:68/37,200,4000,1500,128,1,6,5.337542887382069,27
harris,300,140,1000,3500,32,1,10,3.4657671523114555,34
honeywell,3000/48,140,2000,4000,8,3,6,3.6889044538014413,59
adviser,32/60,38,256,6000,128,16,32,3.6889044538014413,919
nixdorf,dps:6/35,25,1310,16000,0,1,5,6.45520013566593,54
ipl,1641-1,50,2000,8000,8,3,6,3.367330312150578,18
gould,concept:32/8705,75,2000,16000,64,1,38,3.828663135383238,24
ncr,b4955,38,4000,8000,32,4,8,3.4965378640376557,82
perkin-elmer,4331-1,140,256,4000,0,8,16,6.142039556122678,75
sperry,4341-11,150,16000,2000,0,0,5,3.6889044538014413,24
dec,decsys:10:1091,133,1000,8000,9,3,12,2.4849899796493045,31
ibm,3033:s,17,4000,16000,32,6,12,2.4849899796493045,24
siemens,3083:b,26,8000,16000,32,8,16,3.295873902355512,44
sratus,4331-11,50,1000,8000,32,6,12,4.3820391345957574,149
nixdorf,8890/70,200,2000,8000,64,1,5,3.6889044538014413,341
sperry,1100/93,30,8000,64000,128,12,176,5.762054527429321,29
siemens,38/3,60,256,12000,16,8,14,2.3979861777572986,29
cambex,1636-1,50,1000,4000,8,1,5,5.983938799575705,37
ncr,7.872-2,400,192,16000,9,1,24,3.178095496146581,30
formation,f4000/100,800,256,8000,0,1,4,3.3322402238231783,290
harris,4361-5,50,4000,24000,8,1,3,4.330746498094504,34
nas,3081:d,26,8000,32000,64,8,24,6.234412686500763,126
burroughs,100,143,512,768,0,5,24,4.060460251777099,119
ncr,v8565:ii-e,29,64,8000,64,1,8,5.35659099164202,74
magnuson,v8555:ii,60,512,5000,0,12,5,4.5217994465551845,37
harris,100,25,5240,8000,0,6,6,2.3979861777572986,227
harris,300,300,768,12000,6,1,24,3.295873902355512,20
ibm,3000/30,330,768,2000,0,1,1,4.709539210280762,80
c.r.d,50-750-ii,320,512,8000,16,1,2,4.34381840878234,220
sperry,80/3,180,262,4000,0,1,3,4.88280949831525,48
prime,470v/7,50,768,4000,0,8,14,2.833272165855592,47
hp,cyber:170/845,105,8000,16000,0,3,8,4.927260931507761,341
nas,as/7000-n,72,2000,8000,16,6,8,4.09436122874988,35
ipl,seq.ms/3200,26,4000,8000,32,1,1,5.393632091796577,20
bti,5000,350,64,64,0,1,4,3.2581349988203177,138
wang,3210,480,512,4000,0,0,0,7.042287046065235,253
harris,600,140,2000,4000,32,26,5,3.610944939306028,24
dg,38/8,200,1000,8000,0,1,1,6.234412686500763,44
amdahl,3081,23,16000,32000,64,16,32,4.330746498094504,382
hp,4341-11,185,16000,64000,4,1,2,2.7726512202867375,19
burroughs,v8655,800,8000,2000,64,4,6,3.4657671523114555,31
c.r.d,90/80-model-3,25,512,8000,160,12,2,3.610944939306028,182
sperry,1100/83,50,2000,32000,112,52,104,4.17440265439268,29
ncr,v8575:ii,56,4000,8000,0,1,8,3.6376124751696053,76
cdc,cyber:170/750,25,1310,2620,131,12,24,5.624021116289125,23
dec,m80/44,300,2000,8000,64,1,1,2.995782272304033,37
siemens,50-2250,250,768,4000,65,3,32,4.605180185938091,24
nas,as/6150,60,4000,16000,64,5,8,3.0910879068707438,21
four-phase,2000/260,125,512,1000,0,8,20,3.367330312150578,21
ibm,370/148,200,1000,2000,0,1,1,4.88280949831525,29
dg,f4000/300ap,72,1000,16000,32,8,104,4.127150513947278,28
honeywell,4331-11,56,1000,4000,0,1,6,4.189669893426794,53
nixdorf,7.872-2,320,1310,2000,6,3,2,3.0910879068707438,31
amdahl,470v/7,29,8000,32000,32,8,32,2.995782272304033,21
ipl,3000/30,320,1310,2000,131,16,8,3.0910879068707438,28
ibm,8130-a,35,4000,16000,0,5,6,5.905364572846498,41
ibm,370/125-2,240,512,1000,0,1,1,2.995782272304033,124
gould,4460,140,1000,16000,8,0,6,2.995782272304033,138
sperry,1100/82,50,2000,32000,48,26,52,4.1588987082376025,50
apollo,v8655,105,256,8000,8,5,24,2.079566533867987,29
c.r.d,3000/40,320,256,2000,0,1,6,5.908085655556543,21
ibm,1100/84,125,4000,8000,128,1,1,3.6889044538014413,19
hp,3000/64,75,2000,8000,8,3,24,4.127150513947278,220
nas,1100/61-h1,92,2000,8000,32,1,6,4.09436122874988,36
adviser,4361-5,50,2000,1000,32,1,8,3.0910879068707438,41
cdc,3033:u,48,4000,20970,30,12,24,3.0445700556372914,80
ibm,1641-11,50,2000,16000,16,1,6,3.4012307144399454,23
burroughs,7.865-2,70,2300,6200,0,6,64,5.236447281964739,43
wang,dps:6/35,59,2000,16000,8,8,2,3.6889044538014413,21
dg,50-850-ii,140,768,8000,6,1,3,3.52638993594835,42
magnuson,m80/31,100,1000,8000,24,1,6,3.4012307144399454,181
