venderName,modelName,myct,mmin,mmax,cach,chmin,chmax,prp,erp
sperry,80/6,180,512,4000,0,1,3,21,24
sperry,80/4,180,512,4000,0,1,3,14,24
ibm,4321,900,1000,1000,0,1,2,11,18
honeywell,dps:8/52,140,2000,32000,32,1,54,141,181
ncr,v8565:ii,56,2000,6000,0,1,8,21,35
dg,eclipse:mv/6000,110,1000,4000,16,1,2,26,30
siemens,7.536,105,2000,4000,8,3,8,22,31
nas,as/3000-n,115,2000,4000,2,1,5,40,29
ipl,4460,50,2000,16000,24,1,6,80,82
dec,vax:11/780,200,512,8000,8,1,8,62,38
amdahl,580-5880,23,32000,64000,128,32,64,1144,1238
siemens,7.521,240,512,1000,8,1,3,6,19
burroughs,b2925,143,1000,2000,0,5,16,31,22
siemens,7.541,105,2000,6000,16,6,16,33,41
ibm,3081:d,26,16000,32000,64,8,24,465,350
harris,500,300,768,12000,6,6,24,50,52
formation,f4000/200ap,800,256,8000,0,1,4,20,34
ibm,38/8,400,4000,8000,0,1,1,32,45
amdahl,470v/7b,29,8000,32000,32,8,32,172,253
honeywell,dps:6/35,330,1000,3000,0,2,4,16,23
ncr,v8655,38,8000,16000,64,4,8,100,142
dg,eclipse:mv/4000,200,1000,8000,0,1,2,36,36
ncr,v8635,38,4000,8000,32,16,32,51,80
c.r.d,68/10-80,320,128,6000,0,1,12,23,28
amdahl,470v/7a,29,8000,32000,32,8,32,220,253
cambex,1636-1,50,1000,4000,8,3,5,26,30
siemens,7.875-2,26,8000,24000,32,8,16,173,183
nas,as/5000,92,2000,8000,32,1,6,62,53
ibm,4381-2,17,4000,16000,32,6,12,133,116
nas,as/8060,35,8000,32000,64,8,24,370,270
sperry,80/8,124,1000,8000,0,1,8,42,37
dec,decsys:10:1091,133,1000,12000,9,3,12,72,54
dg,eclipse:mv/8000,110,1000,12000,16,1,2,60,56
ncr,v8585:ii,56,4000,12000,0,1,8,42,62
burroughs,b5920,143,3100,6200,0,5,20,33,39
nas,as/8050,40,8000,32000,64,8,24,277,266
nixdorf,8890/50,200,1000,4000,0,1,4,30,25
nas,as/5000-n,92,2000,8000,4,1,6,50,41
harris,700,300,384,12000,6,1,24,53,50
magnuson,m80/32,100,1000,8000,24,3,6,32,46
honeywell,dps:8/49,140,2000,32000,32,1,20,134,175
cdc,cyber:170/845,64,5240,20970,30,12,24,208,136
dg,eclipse:c/350,700,384,8000,0,1,1,24,34
amdahl,580-5850,23,16000,32000,64,16,32,489,381
hp,3000/48,105,2000,4000,8,3,19,32,33
perkin-elmer,3210,250,512,4000,0,4,7,50,24
adviser,32/60,125,256,6000,256,16,128,198,199
prime,50-550-ii,160,1000,4000,8,1,14,38,29
nas,as/9060,30,16000,32000,256,16,24,510,603
ibm,4341,900,2000,4000,0,3,6,37,28
nas,as/6150,60,4000,16000,32,1,6,86,95
harris,600,300,768,4500,0,1,24,45,27
honeywell,dps:8/62,140,2000,32000,32,1,54,189,181
bti,5000,350,64,64,0,1,4,10,15
burroughs,b1955,167,524,2000,8,4,15,19,23
burroughs,b6900,143,2300,6200,0,6,64,61,40
ibm,8130-b,1500,768,2000,0,0,0,18,20
harris,300,300,768,3000,6,6,24,44,25
perkin-elmer,3230,250,1000,16000,1,1,8,50,64
cdc,cyber:170/835,56,5240,20970,30,12,24,106,138
honeywell,dps:7/45,330,1000,4000,0,3,6,22,25
nas,as/7000,72,4000,16000,64,8,16,143,120
siemens,7.531,240,512,2000,8,1,5,11,22
ibm,4361-5,25,2000,12000,16,3,5,66,65
gould,concept:32/8705,75,2000,8000,64,1,38,144,75
ibm,4341-11,180,2000,8000,8,1,6,50,42
ibm,38/5,600,768,2000,0,1,1,16,20
sperry,1100/83,50,2000,32000,112,52,104,307,341
apollo,dn420,400,512,3500,4,1,6,40,24
ipl,4446,50,2000,16000,24,1,6,70,82
cdc,omega:480-i,50,500,2000,8,1,4,20,23
siemens,7.880-2,26,8000,32000,64,12,16,248,275
ibm,3033:s,57,4000,16000,1,6,12,132,82
nas,as/6630,60,4000,16000,64,5,8,93,117
nas,as/7000-n,72,2000,8000,16,6,8,105,48
ipl,4445,50,2000,8000,8,1,6,56,44
siemens,7.561,52,4000,16000,32,4,12,130,99
cdc,omega:480-iii,50,2000,8000,8,1,5,71,44
