venderName,modelName,myct,mmin,mmax,cach,chmin,chmax,prp,erp
nas,8890/70,75,2000,16000,64,1,8,70,57
dg,1636-1,50,1000,8000,0,1,6,12,18
adviser,32/60,38,256,6000,128,16,32,66,47
honeywell,1100/81,140,2000,32000,32,1,54,32,28
sperry,1100/83,50,2000,32000,112,52,104,66,919
ibm,370/125-2,56,1000,4000,0,1,6,40,23
harris,100,300,2000,16000,0,6,24,60,1238
sperry,1100/93,30,8000,64000,96,12,176,208,27
nas,1100/61-h1,92,2000,8000,32,1,6,32,34
cdc,3033:s,50,4000,16000,8,1,8,40,59
nas,1100/82,25,8000,32000,64,12,24,40,919
ibm,3083:b,26,8000,16000,0,8,16,636,54
cdc,cyber:170/815,38,2620,8000,30,12,24,29,18
amdahl,3081,23,16000,32000,64,16,32,46,24
amdahl,470v/7,29,8000,32000,32,8,32,33,82
