venderName,modelName,myct,mmin,mmax,cach,chmin,chmax,prp,erp
sperry,80/6,180,512,4000,0,1,3,21,24
sperry,80/4,180,512,4000,0,1,3,14,24
ibm,4321,900,1000,1000,0,1,2,11,18
honeywell,dps:8/52,140,2000,32000,32,1,54,141,181
ncr,v8565:ii,56,2000,6000,0,1,8,21,35
dg,eclipse:mv/6000,110,1000,4000,16,1,2,26,30
dec,vax:11/780,200,512,8000,8,1,8,62,38
nas,as/3000-n,115,2000,4000,2,1,5,40,29
siemens,7.536,105,2000,4000,8,3,8,22,31
ncr,v8635,38,4000,8000,32,16,32,51,80
amdahl,580-5840,23,16000,32000,64,16,32,367,381
burroughs,b6900,143,2300,6200,0,6,64,61,40
amdahl,580-5880,23,32000,64000,128,32,64,1144,1238
nas,as/7000,72,4000,16000,64,8,16,143,120
nas,as/6650,50,4000,16000,64,5,10,111,119
